Datetime,Open,High,Low,Close,Volume
2020-03-12 14:36:00-04:00,143.6,143.6,143.05,143.25,232737
2020-03-12 14:38:00-04:00,143.3,143.52,142.91,143.32,227302
2020-03-12 14:40:00-04:00,143.29,143.98,143.04,143.41,196793
2020-03-12 14:42:00-04:00,143.42,143.79,143.18,143.52,261904
2020-03-12 14:44:00-04:00,143.58,143.96,143.27,143.58,174477
2020-03-12 14:46:00-04:00,143.79,144.6,143.67,144.52,338685
2020-03-12 14:48:00-04:00,144.57,145.98,144.36,145.98,280425
2020-03-12 14:50:00-04:00,145.97,146.4,145.4,145.71,422831
2020-03-12 14:52:00-04:00,145.75,146.07,144.2,144.35,338905
2020-03-12 14:54:00-04:00,144.33,144.54,143.67,144.5,355141
2020-03-12 14:56:00-04:00,144.47,144.55,143.61,143.84,301091
2020-03-12 14:58:00-04:00,143.9,143.9,143.13,143.17,249563
2020-03-12 15:00:00-04:00,143.24,143.64,143.09,143.38,238658
2020-03-12 15:02:00-04:00,143.38,143.5,143.01,143.07,246211
2020-03-12 15:04:00-04:00,143.07,143.49,142.7,142.72,324507
2020-03-12 15:06:00-04:00,142.71,142.81,142.33,142.56,306004
2020-03-12 15:08:00-04:00,142.55,144.0,142.36,143.09,522742
2020-03-12 15:10:00-04:00,143.07,144.37,143.04,143.59,611236
2020-03-12 15:12:00-04:00,143.59,143.66,142.8,142.8,352699
2020-03-12 15:14:00-04:00,142.8,143.63,142.0,142.01,789221
2020-03-12 15:16:00-04:00,142.04,142.35,141.82,142.16,369131
2020-03-12 15:18:00-04:00,142.17,142.33,141.94,142.1,271246
2020-03-12 15:20:00-04:00,142.24,142.33,141.5,141.7,420462
2020-03-12 15:22:00-04:00,141.7,142.28,141.31,141.51,519207
2020-03-12 15:24:00-04:00,141.5,141.99,141.26,141.92,413812
2020-03-12 15:26:00-04:00,141.94,142.0,141.4,141.57,422182
2020-03-12 15:28:00-04:00,141.54,141.68,141.27,141.29,364395
2020-03-12 15:30:00-04:00,141.26,141.63,141.2,141.28,381830
2020-03-12 15:32:00-04:00,141.29,142.02,141.16,141.18,512943
2020-03-12 15:34:00-04:00,141.16,141.75,141.05,141.23,477486
2020-03-12 15:36:00-04:00,141.23,141.73,141.11,141.36,392508
2020-03-12 15:38:00-04:00,141.33,142.2,141.25,142.12,369403
2020-03-12 15:40:00-04:00,142.12,144.2,141.82,143.73,767652
2020-03-12 15:42:00-04:00,143.76,144.01,142.56,143.08,481425
2020-03-12 15:44:00-04:00,143.11,143.9,143.04,143.31,505612
2020-03-12 15:46:00-04:00,143.32,143.43,142.25,142.52,547398
2020-03-12 15:48:00-04:00,142.54,143.78,142.03,143.3,580675
2020-03-12 15:50:00-04:00,143.2,145.16,143.2,144.37,1083805
2020-03-12 15:52:00-04:00,144.37,144.87,142.86,144.0,920901
2020-03-12 15:54:00-04:00,144.04,144.33,141.43,141.63,1326972
2020-03-12 15:56:00-04:00,141.58,141.6,140.1,140.21,1525615
2020-03-12 15:58:00-04:00,140.21,140.29,138.58,138.83,3100408
2020-03-13 09:30:00-04:00,148.28,148.67,148.08,148.41,3568687
2020-03-13 09:32:00-04:00,148.45,148.47,146.83,146.83,946442
2020-03-13 09:34:00-04:00,146.62,146.76,146.26,146.75,888461
2020-03-13 09:36:00-04:00,146.45,146.61,146.0,146.0,681456
2020-03-13 09:38:00-04:00,145.93,145.93,145.12,145.12,641360
2020-03-13 09:40:00-04:00,144.75,144.75,144.3,144.53,920571
2020-03-13 09:42:00-04:00,144.34,145.49,144.34,145.49,778427
2020-03-13 09:44:00-04:00,145.42,145.98,145.42,145.98,760626
2020-03-13 09:46:00-04:00,145.04,145.45,144.72,144.72,570697
2020-03-13 09:48:00-04:00,144.87,145.09,144.64,144.94,442845
2020-03-13 09:50:00-04:00,144.82,144.82,144.23,144.23,532617
2020-03-13 09:52:00-04:00,144.27,144.3,144.0,144.0,544085
2020-03-13 09:54:00-04:00,143.85,144.0,143.34,143.34,667099
2020-03-13 09:56:00-04:00,143.37,143.37,143.14,143.33,497732
2020-03-13 09:58:00-04:00,144.2,144.78,143.34,144.67,539813
2020-03-13 10:00:00-04:00,144.64,145.6,144.07,145.6,457719
2020-03-13 10:02:00-04:00,145.62,145.87,145.1,145.77,446236
2020-03-13 10:04:00-04:00,145.77,146.07,145.63,146.07,458253
2020-03-13 10:06:00-04:00,146.08,146.65,145.8,146.0,708836
2020-03-13 10:08:00-04:00,146.0,146.61,145.57,145.67,647217
2020-03-13 10:10:00-04:00,145.66,145.73,145.17,145.71,399080
2020-03-13 10:12:00-04:00,145.99,146.5,145.53,145.72,539452
2020-03-13 10:14:00-04:00,145.7,146.18,145.35,145.92,364745
2020-03-13 10:16:00-04:00,145.92,146.71,145.62,146.61,411528
2020-03-13 10:18:00-04:00,146.56,147.49,146.3,147.06,504639
2020-03-13 10:20:00-04:00,147.12,147.66,146.64,147.65,453343
2020-03-13 10:22:00-04:00,147.65,147.78,147.2,147.57,364125
2020-03-13 10:24:00-04:00,147.6,147.6,146.45,146.97,459036
2020-03-13 10:26:00-04:00,146.96,147.7,146.78,147.03,477399
